Action,File,Sheet,Ref,Date,Venue,Detail
SOURCE_DATE_CORRECTED,Tennis Register 2025 (2).xlsx,Parkfield,R131,2026-06-18,Parkfield Community School,18/06/20239 -> 2026-06-18 from weekly sequence
SOURCE_DATE_CORRECTED,Tennis Register 2025 (2).xlsx,Parkfield,R132,2026-06-18,Parkfield Community School,18/06/20240 -> 2026-06-18 from weekly sequence
SOURCE_DATE_CORRECTED,Tennis Register 2025 (2).xlsx,Wardend,R3,2025-12-03,Ward End Park,serial 2025-12-03 00:00:00 conflicts with Month=Decemeber ; carried same contiguous session date 2025-12-03
SOURCE_DATE_CORRECTED,Tennis Register 2025 (2).xlsx,Wardend,R4,2025-12-03,Ward End Park,serial 2025-12-03 00:00:00 conflicts with Month=Decemeber ; carried same contiguous session date 2025-12-03
SOURCE_DATE_CORRECTED,Tennis Register 2025 (2).xlsx,Wardend,R5,2025-12-03,Ward End Park,serial 2025-12-03 00:00:00 conflicts with Month=Decemeber ; carried same contiguous session date 2025-12-03
SOURCE_DATE_CORRECTED,Tennis Register 2025 (2).xlsx,Wardend,R8,2025-12-06,Ward End Park,serial 2025-12-06 00:00:00 conflicts with Month=Decemeber ; carried same contiguous session date 2025-12-06
SOURCE_DATE_CORRECTED,Tennis Register 2025 (2).xlsx,Wardend,R9,2025-12-06,Ward End Park,serial 2025-12-06 00:00:00 conflicts with Month=Decemeber ; carried same contiguous session date 2025-12-06
SOURCE_DATE_CORRECTED,Tennis Register 2025 (2).xlsx,Wardend,R10,2025-12-06,Ward End Park,serial 2025-12-06 00:00:00 conflicts with Month=Decemeber ; carried same contiguous session date 2025-12-06
SOURCE_DATE_CORRECTED,Tennis Register 2025 (2).xlsx,Wardend,R13,2026-02-04,Ward End Park,serial 2026-02-04 00:00:00 conflicts with Month=Febuary; carried same contiguous session date 2026-02-04
SOURCE_DATE_CORRECTED,Tennis Register 2025 (2).xlsx,Wardend,R14,2026-02-04,Ward End Park,serial 2026-02-04 00:00:00 conflicts with Month=Febuary; carried same contiguous session date 2026-02-04
SOURCE_DATE_CORRECTED,Tennis Register 2025 (2).xlsx,Wardend,R19,2026-02-11,Ward End Park,serial 2026-02-11 00:00:00 conflicts with Month=Febuary; carried same contiguous session date 2026-02-11
SOURCE_DATE_CORRECTED_FROM_CONTEXT,Tennis Register 2025 (2).xlsx,Wardend,R26,2026-06-06,Ward End Park,raw_date=2926-06-06 00:00:00; contiguous same day/time as prior row
SOURCE_DATE_CORRECTED_FROM_CONTEXT,Tennis Register 2025 (2).xlsx,Wardend,R27,2026-06-06,Ward End Park,raw_date=2926-06-06 00:00:00; contiguous same day/time as prior row
SOURCE_DATE_CORRECTED_FROM_CONTEXT,Tennis Register 2025 (2).xlsx,Wardend,R28,2026-06-06,Ward End Park,raw_date=2926-06-06 00:00:00; contiguous same day/time as prior row
SOURCE_DATE_CORRECTED_FROM_CONTEXT,Tennis Register 2025 (2).xlsx,Wardend,R29,2026-06-06,Ward End Park,raw_date=2926-06-06 00:00:00; contiguous same day/time as prior row
SOURCE_DATE_CORRECTED_FROM_CONTEXT,Tennis Register 2025 (2).xlsx,Wardend,R30,2026-06-06,Ward End Park,raw_date=2926-06-06 00:00:00; contiguous same day/time as prior row
SOURCE_DATE_CORRECTED_FROM_CONTEXT,Tennis Register 2025 (2).xlsx,Wardend,R31,2026-06-06,Ward End Park,raw_date=2926-06-06 00:00:00; contiguous same day/time as prior row
SOURCE_DATE_CORRECTED_FROM_CONTEXT,Tennis Register 2025 (2).xlsx,Wardend,R32,2026-06-06,Ward End Park,raw_date=2926-06-06 00:00:00; contiguous same day/time as prior row
SOURCE_DATE_CORRECTED_FROM_CONTEXT,Tennis Register 2025 (2).xlsx,Wardend,R33,2026-06-06,Ward End Park,raw_date=2926-06-06 00:00:00; contiguous same day/time as prior row
SOURCE_DATE_CORRECTED_FROM_CONTEXT,Tennis Register 2025 (2).xlsx,Wardend,R34,2026-06-06,Ward End Park,raw_date=2926-06-06 00:00:00; contiguous same day/time as prior row
SOURCE_DATE_CORRECTED_FROM_CONTEXT,Tennis Register 2025 (2).xlsx,Wardend,R48,2026-06-20,Ward End Park,raw_date=2926-06-20 00:00:00; contiguous same day/time as prior row
SOURCE_DATE_CORRECTED_FROM_CONTEXT,Tennis Register 2025 (2).xlsx,Wardend,R51,2026-06-20,Ward End Park,raw_date=2926-06-20 00:00:00; contiguous same day/time as prior row
SOURCE_DATE_CORRECTED_FROM_CONTEXT,Tennis Register 2025 (2).xlsx,Wardend,R54,2026-06-20,Ward End Park,raw_date=2926-06-20 00:00:00; contiguous same day/time as prior row
SOURCE_DATE_CORRECTED_FROM_CONTEXT,Tennis Register 2025 (2).xlsx,Wardend,R58,2026-06-27,Ward End Park,raw_date=blank; contiguous same day/time as prior row
SOURCE_DATE_CORRECTED_FROM_CONTEXT,Tennis Register 2025 (2).xlsx,Wardend,R59,2026-06-27,Ward End Park,raw_date=blank; contiguous same day/time as prior row
SOURCE_DATE_CORRECTED_FROM_CONTEXT,Tennis Register 2025 (2).xlsx,Wardend,R60,2026-06-27,Ward End Park,raw_date=blank; contiguous same day/time as prior row
SOURCE_DATE_CORRECTED_FROM_CONTEXT,Tennis Register 2025 (2).xlsx,Wardend,R61,2026-06-27,Ward End Park,raw_date=blank; contiguous same day/time as prior row
